feature,mean,sd,min,max,pct_nonzero,rho_PHQ9,p_PHQ9,rho_GAD7,p_GAD7,q_PHQ9,q_GAD7,abs_rho_max
val_p05,3.5234,0.4426,2.57,4.96,100.0,-0.3634,0.0001,-0.4208,0.0,0.0013,0.0001,0.4208
aro_max,7.1998,0.407,6.0167,8.1333,100.0,0.3609,0.0001,0.4144,0.0,0.0013,0.0001,0.4144
val_min,2.7343,0.5156,1.695,4.8167,100.0,-0.3121,0.0009,-0.395,0.0,0.0075,0.0002,0.395
val_sd,1.3291,0.1195,1.0021,1.5825,100.0,0.2943,0.0018,0.3402,0.0003,0.0113,0.0017,0.3402
emo_fear_max,2.3657,0.4036,1.5,3.6125,100.0,0.2481,0.009,0.3333,0.0004,0.0448,0.0019,0.3333
emo_sadness_max,2.6938,0.4806,1.6167,4.2,100.0,0.2322,0.0147,0.3037,0.0013,0.0611,0.0052,0.3037
aro_mean,5.1736,0.1269,4.7137,5.4624,100.0,0.2219,0.0198,0.2923,0.0019,0.0708,0.0069,0.2923
emo_disgust_max,2.0129,0.3598,1.45,3.2375,100.0,0.1814,0.058,0.261,0.0059,0.1449,0.0184,0.261
emo_anger_max,2.5624,0.4199,1.5,3.6125,100.0,0.1891,0.0479,0.2237,0.0188,0.1399,0.0523,0.2237
emo_fear_mean,1.4347,0.0675,1.2208,1.6755,100.0,0.1461,0.1278,0.1898,0.047,0.2339,0.1176,0.1898
val_low_rate,0.1097,0.0402,0.0,0.2253,99.0909,0.1871,0.0504,0.1777,0.0633,0.1399,0.1438,0.1871
aro_high_rate,0.1314,0.0379,0.0278,0.2298,100.0,0.1462,0.1275,0.1689,0.0777,0.2339,0.153,0.1689
val_mean,5.9038,0.1886,5.3993,6.3801,100.0,-0.1252,0.1925,-0.1679,0.0796,0.3209,0.153,0.1679
emo_happiness_mean,2.5174,0.1457,2.2253,3.3958,100.0,-0.1493,0.1196,-0.1034,0.2824,0.2339,0.3923,0.1493
emo_anger_mean,1.453,0.0651,1.2875,1.66,100.0,0.1449,0.131,0.0781,0.4174,0.2339,0.5492,0.1449
emo_happiness_max,3.8111,0.3172,2.91,4.6375,100.0,0.0725,0.4514,0.1349,0.1599,0.5374,0.2855,0.1349
emo_sadness_mean,1.4546,0.091,1.2708,1.7185,100.0,0.1175,0.2214,0.1248,0.1938,0.3459,0.3094,0.1248
affect_coverage,0.7658,0.0542,0.6111,0.9022,100.0,0.0855,0.3745,0.1237,0.198,0.4753,0.3094,0.1237
emo_disgust_mean,1.2907,0.0476,1.1629,1.4956,100.0,0.1081,0.261,0.1092,0.2562,0.3838,0.3767,0.1092
emo_sadness_mean_sd,0.0978,0.0588,0.0052,0.3514,100.0,-0.103,0.2842,-0.0441,0.6475,0.3947,0.7038,0.103
aro_mean_sd,0.2026,0.1091,0.0264,0.6224,100.0,-0.0845,0.3803,-0.0688,0.475,0.4753,0.5655,0.0845
emo_coverage,0.4633,0.0569,0.2556,0.5882,100.0,0.0034,0.972,0.0711,0.4605,0.9744,0.5655,0.0711
val_mean_sd,0.2115,0.1164,0.0107,0.513,100.0,-0.0372,0.6997,-0.0463,0.6314,0.7951,0.7038,0.0463
val_high_rate,0.5051,0.0706,0.2929,0.6961,100.0,-0.0031,0.9744,-0.0187,0.8461,0.9744,0.8483,0.0187
emo_fear_mean_sd,0.0717,0.045,0.0097,0.2034,100.0,-0.0128,0.8947,0.0184,0.8483,0.9725,0.8483,0.0184
