feature,mean,sd,min,max,pct_nonzero,rho_PHQ9,p_PHQ9,rho_GAD7,p_GAD7,q_PHQ9,q_GAD7,abs_rho_max
clin_animo,0.1691,0.2822,0.0,1.2213,38.1818,0.2785,0.0032,0.3139,0.0008,0.0728,0.0504,0.3139
clin_coverage,0.0482,0.0232,0.0149,0.1343,100.0,0.2669,0.0048,0.2898,0.0021,0.0728,0.0641,0.2898
clin_preocupacion,0.5842,0.5858,0.0,2.5765,78.1818,-0.1418,0.1395,-0.276,0.0035,0.465,0.0703,0.276
tense_fut_rate,0.0419,0.1305,0.0,0.7812,16.3636,0.2689,0.0045,0.2412,0.0111,0.0728,0.1672,0.2689
clin_irritabilidad,0.0234,0.1087,0.0,0.7576,5.4545,0.2667,0.0049,0.216,0.0235,0.0728,0.2814,0.2667
pos_adj_rate,6.0033,1.9803,2.2076,13.6985,100.0,-0.2272,0.017,-0.0579,0.5482,0.2039,0.757,0.2272
pos_conj_rate,12.4038,2.5729,6.0859,18.6579,100.0,0.2084,0.0289,0.1341,0.1626,0.2893,0.5171,0.2084
lexical_density,0.4689,0.0305,0.3764,0.5618,100.0,0.05,0.6036,0.2045,0.0322,0.9155,0.2845,0.2045
clin_autolesion,0.0042,0.0355,0.0,0.365,2.7273,0.2018,0.0345,0.1982,0.0379,0.2954,0.2845,0.2018
discourse_marker_rate,3.9572,2.0584,0.0,9.7253,98.1818,-0.1888,0.0482,-0.2003,0.0359,0.3618,0.2845,0.2003
n_words_total,487.5545,542.1589,76.0,4738.0,100.0,0.1676,0.08,0.1833,0.0553,0.4334,0.3688,0.1833
words_per_answer_mean,135.0523,133.781,25.3333,1184.5,100.0,0.1518,0.1135,0.1766,0.0649,0.4516,0.3896,0.1766
clin_anhedonia,0.0338,0.1296,0.0,0.8032,10.9091,0.1665,0.0822,0.1487,0.121,0.4334,0.4816,0.1665
n_answers,3.4182,0.4955,3.0,4.0,100.0,0.1587,0.0977,0.1623,0.0904,0.4334,0.4522,0.1623
clin_estres,0.4593,0.6469,0.0,3.5111,58.1818,0.0586,0.5435,0.1622,0.0904,0.9155,0.4522,0.1622
clin_concentracion,0.0283,0.0869,0.0,0.4016,11.8182,0.1583,0.0985,0.127,0.1861,0.4334,0.5582,0.1583
mattr_50,0.7187,0.0408,0.6296,0.8487,100.0,-0.1582,0.0989,-0.0879,0.361,0.4334,0.6768,0.1582
hapax_rate,0.398,0.1362,0.111,0.7177,100.0,-0.1571,0.1011,-0.1429,0.1364,0.4334,0.4816,0.1571
words_per_answer_sd,36.2643,35.3241,1.2472,235.1728,100.0,0.1321,0.1688,0.1516,0.1138,0.4824,0.4816,0.1516
pos_adv_rate,11.0043,2.2114,5.6826,16.7172,100.0,0.1489,0.1204,0.0605,0.5303,0.4516,0.757,0.1489
fps_explicit_ratio,0.0815,0.1129,0.0,0.75,62.7273,-0.1288,0.1799,-0.1471,0.1252,0.4905,0.4816,0.1471
absolutist_coverage,0.0657,0.0413,0.0,0.1842,95.4545,0.1228,0.2012,0.1452,0.1302,0.4922,0.4816,0.1452
modal_rate,1.1542,0.9858,0.0,5.9443,86.3636,0.1447,0.1315,0.1194,0.2141,0.464,0.584,0.1447
pos_noun_rate,15.8875,2.4057,9.4838,21.6626,100.0,-0.1362,0.1559,-0.0076,0.9372,0.4824,0.9531,0.1362
clin_miedo,0.0429,0.1401,0.0,0.9544,15.4545,0.0142,0.8831,0.1337,0.1637,0.9565,0.5171,0.1337
clin_sueno,1.1206,0.7375,0.0,3.4562,95.4545,0.1333,0.1651,0.0282,0.77,0.4824,0.8754,0.1333
clin_culpa,0.0051,0.0323,0.0,0.3115,4.5455,0.0473,0.6233,0.123,0.2005,0.9155,0.573,0.123
mtld,45.2639,9.0934,27.2516,79.16,100.0,-0.1225,0.2023,-0.0335,0.7285,0.4922,0.8754,0.1225
negation_rate,3.113,2.2969,0.0,19.1303,99.0909,0.1218,0.2051,0.0979,0.3091,0.4922,0.6556,0.1218
neg_per_sentence,0.7958,0.6217,0.0,3.4291,99.0909,0.1123,0.2427,0.1138,0.2366,0.5393,0.5994,0.1138
fps_verb_rate_sd,1.8237,1.054,0.2362,5.8103,100.0,0.1137,0.2369,0.0404,0.675,0.5393,0.8437,0.1137
clin_soledad,0.0678,0.1951,0.0,1.5873,21.8182,0.0983,0.3067,0.113,0.2398,0.5751,0.5994,0.113
hesitation_rate,0.2515,0.4569,0.0,2.5904,43.6364,0.109,0.2572,0.0976,0.3103,0.55,0.6556,0.109
pos_verb_rate,20.6379,3.073,11.3578,28.698,100.0,0.107,0.2659,0.0781,0.4171,0.55,0.715,0.107
absolutist_rate,1.9511,1.585,0.0,8.9927,95.4545,0.0188,0.8452,0.1028,0.2851,0.9565,0.6556,0.1028
mood_subjunctive_rate,0.6431,0.6113,0.0,2.3532,75.4545,-0.0496,0.607,-0.1005,0.2962,0.9155,0.6556,0.1005
clin_total_rate,4.4953,1.9515,1.3021,11.0868,100.0,0.0998,0.2998,0.068,0.4805,0.5751,0.757,0.0998
mean_sentence_len_sd,12.6831,29.3011,0.6136,258.5097,100.0,-0.0985,0.3062,-0.0911,0.3437,0.5751,0.6653,0.0985
fernandez_huerta,63.0669,24.9978,-113.0387,88.7553,100.0,-0.0244,0.8,-0.0963,0.3169,0.9442,0.6556,0.0963
clin_nervios,0.7385,0.6962,0.0,3.4329,88.1818,-0.0007,0.9946,0.0936,0.3306,0.9988,0.6613,0.0936
negation_rate_sd,1.8865,2.246,0.0,21.8421,99.0909,-0.0854,0.375,-0.0531,0.582,0.6819,0.7591,0.0854
clin_energia,0.6848,0.6655,0.0,4.5455,83.6364,0.0281,0.7705,-0.0812,0.3989,0.9442,0.715,0.0812
mean_sentence_len,29.884,24.1607,11.7778,204.1221,100.0,0.0413,0.668,0.0789,0.4127,0.9442,0.715,0.0789
clin_total_rate_sd,2.5662,1.3705,0.5047,8.2877,100.0,-0.008,0.9339,-0.0758,0.4312,0.969,0.7187,0.0758
clin_apetito,0.5309,0.5268,0.0,2.4691,80.0,0.0737,0.444,0.0554,0.5652,0.7836,0.757,0.0737
sentence_len_sd,11.3923,7.2812,1.3749,35.6681,100.0,0.054,0.5752,0.0654,0.497,0.9155,0.757,0.0654
pos_pron_rate,10.2792,2.1877,5.412,15.4939,100.0,0.039,0.6856,-0.0633,0.5112,0.9442,0.757,0.0633
clin_psicomotor,0.0025,0.0194,0.0,0.1862,1.8182,0.0357,0.7109,-0.06,0.5337,0.9442,0.757,0.06
intensifier_rate,1.9041,1.2836,0.0,6.9027,95.4545,0.0189,0.845,0.0591,0.5394,0.9565,0.757,0.0591
sps_rate,0.1306,0.2629,0.0,1.205,30.9091,0.0554,0.5654,0.0222,0.8177,0.9155,0.9013,0.0554
mean_word_len,4.4005,0.2278,3.946,5.0157,100.0,-0.013,0.8928,0.0551,0.5677,0.9565,0.757,0.0551
self_other_ratio,0.5859,0.1237,0.2024,0.8727,100.0,0.0315,0.7437,0.0505,0.6006,0.9442,0.7667,0.0505
tense_pres_rate,11.1917,2.3906,5.2083,17.3884,100.0,0.047,0.6256,-0.0278,0.7733,0.9155,0.8754,0.047
tense_past_rate,0.8691,0.9659,0.0,5.386,77.2727,-0.0077,0.9367,0.0326,0.7349,0.969,0.8754,0.0326
repetition_rate,0.2297,0.3147,0.0,1.7554,50.0,0.0001,0.9988,0.0304,0.7528,0.9988,0.8754,0.0304
fps_verb_rate,6.8024,2.1566,2.215,13.2225,100.0,0.0248,0.7968,-0.0018,0.9849,0.9442,0.9849,0.0248
mattr_50_sd,0.0389,0.0287,0.0021,0.1367,100.0,-0.0248,0.7973,-0.0085,0.9294,0.9442,0.9531,0.0248
tps_rate,7.5716,2.3727,2.2762,12.9918,100.0,0.0242,0.8015,-0.0129,0.8932,0.9442,0.9402,0.0242
fps_pron_rate,4.025,1.535,1.0159,8.0138,100.0,0.0241,0.8026,0.0204,0.8326,0.9442,0.9013,0.0241
fpp_rate,0.2443,0.4113,0.0,1.8177,45.4545,0.0139,0.8851,0.0193,0.8413,0.9565,0.9013,0.0193
