encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E0_TFIDF,frozen,participant,1,no_augmentation,PHQ9,42,test,confirmatory,5.452278,4.41224,0.015414,0.197129,0.206874,"[[0, 3, 6, 0], [0, 3, 9, 0], [0, 1, 13, 0], [0, 0, 13, 0]]",0.645161,0.52381,"[[6, 15], [7, 20]]",RandomForest,{},tfidf,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:36:44,
E0_TFIDF,frozen,participant,1,no_augmentation,GAD7,42,test,confirmatory,4.916075,4.046659,0.045223,0.12987,0.058824,"[[0, 11, 1, 0], [0, 12, 5, 0], [0, 12, 1, 0], [0, 4, 2, 0]]",0.0,0.556261,"[[26, 3], [19, 0]]",RandomForest,{},tfidf,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:37:02,
E1_BETO,frozen,participant,1,no_augmentation,PHQ9,42,test,confirmatory,4.912919,3.96796,0.200576,0.332256,0.294118,"[[1, 5, 3, 0], [0, 5, 5, 2], [0, 3, 11, 0], [0, 3, 8, 2]]",0.736842,0.700176,"[[12, 9], [6, 21]]",SVR,{},dccuchile/bert-base-spanish-wwm-cased,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:37:41,
E1_BETO,frozen,participant,1,no_augmentation,GAD7,42,test,confirmatory,4.45608,3.645794,0.21554,0.238816,0.365714,"[[1, 10, 1, 0], [0, 11, 6, 0], [0, 8, 5, 0], [0, 1, 5, 0]]",0.484848,0.718693,"[[23, 6], [11, 8]]",SVR,{},dccuchile/bert-base-spanish-wwm-cased,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:38:39,
E2_E5SMALL,frozen,participant,1,no_augmentation,PHQ9,42,test,confirmatory,4.829946,3.912166,0.227351,0.25049,0.329532,"[[0, 8, 0, 1], [0, 4, 7, 1], [0, 4, 10, 0], [0, 2, 9, 2]]",0.714286,0.686067,"[[12, 9], [7, 20]]",AdaBoost,{},intfloat/multilingual-e5-small,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:39:15,
E2_E5SMALL,frozen,participant,1,no_augmentation,GAD7,42,test,confirmatory,4.562767,3.755972,0.177527,0.163399,0.22406,"[[0, 11, 1, 0], [0, 11, 6, 0], [0, 10, 3, 0], [0, 2, 4, 0]]",0.181818,0.680581,"[[28, 1], [17, 2]]",RandomForest,{},intfloat/multilingual-e5-small,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:39:37,
E2_E5BASE,frozen,participant,1,no_augmentation,PHQ9,42,test,confirmatory,4.871437,4.044614,0.214019,0.32416,0.320755,"[[1, 6, 1, 1], [0, 4, 7, 1], [0, 3, 8, 3], [0, 4, 5, 4]]",0.701754,0.733686,"[[11, 10], [7, 20]]",AdaBoost,{},intfloat/multilingual-e5-base,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:40:28,
E2_E5BASE,frozen,participant,1,no_augmentation,GAD7,42,test,confirmatory,4.28932,3.367286,0.273155,0.305804,0.342015,"[[2, 8, 2, 0], [0, 11, 6, 0], [0, 6, 7, 0], [0, 2, 4, 0]]",0.470588,0.733212,"[[22, 7], [11, 8]]",SVR,{},intfloat/multilingual-e5-base,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:41:28,
E2_E5LARGE,frozen,participant,1,no_augmentation,PHQ9,42,test,confirmatory,4.703475,3.790801,0.267284,0.347045,0.45394,"[[2, 5, 1, 1], [0, 4, 8, 0], [0, 4, 10, 0], [0, 0, 11, 2]]",0.766667,0.714286,"[[11, 10], [4, 23]]",SVR,{},intfloat/multilingual-e5-large,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:42:40,
E2_E5LARGE,frozen,participant,1,no_augmentation,GAD7,42,test,confirmatory,4.187092,3.274911,0.307388,0.320548,0.461224,"[[2, 9, 1, 0], [0, 11, 6, 0], [0, 5, 8, 0], [0, 1, 5, 0]]",0.514286,0.751361,"[[22, 7], [10, 9]]",SVR,{},intfloat/multilingual-e5-large,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T01:44:06,
